ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
67,"You No Fit Touch Am in Dub (feat. Prince Fatty & Nostalgia 77), by Dele Sosimi",https://delesosimi.bandcamp.com/album/you-no-fit-touch-am-in-dub-feat-prince-fatty-nostalgia-77,,Bandcamp,,,
69,Joey Negro presents It's A Summer Groove Vol.1,https://open.spotify.com/album/51Dseuoc3UdyYVxOSMELad?si=rfNcehKRS5GhntlECvenmA&nd=1,,,,,
70,Silk Road: Journey of the Armenian Diaspora (1971-1982),https://open.spotify.com/album/1X4BBkB7OYNgxMPA5AcznL?si=87N4x5FqR9-jmtRW7Sqf0Q,,,,,
73,Light As A Feather,https://open.spotify.com/album/4Bc3Vi6eMdJKEGN3haOTGF?si=6zThjbxtTSeNoQTrsRSu2w&dl_branch=1,,,,,
72,Monodrone - 街で夜を過ごす,https://i-am-monodrone.bandcamp.com/album/spend-the-night-in-the-city,https://f4.bcbits.com/img/a1831975966_10.jpg,Bandcamp,Ready,,
71,Vent,https://open.spotify.com/track/2yBw3MgBuIDeuMkEHvW4z9?si=8Cs067joTOK19V2mgy3rrw&utm_source=whatsapp,,,,,
74,Manu Dibango Anthology,https://open.spotify.com/album/4WDsHhoLJTSGVAt7ydCoPN?si=65_C6TPvRW-o859zwCUXwg,,,,,
77,Gece,https://open.spotify.com/album/4IUeKh2mYOX2njthGA8STM?si=EN6EhB0lTCO7AmLynYZ2NQ,,,,,
75,After Hours (Remixes),https://open.spotify.com/album/1ZJIMQ7fTy5Aw7InjQtvnO?si=wZEwBcyGSoue_1GXuvZFSQ,,,,,
76,Underground System,https://open.spotify.com/album/2Dq6B9PS59nnrJT7hTj34P?si=UjQTzz3YQSKnCgABrPkxeg,,,,,
78,Ungodly Hour,https://open.spotify.com/album/2HIaUwS0PTUeqFFYHBBGAN?si=yzooO-K1RvW2PQEL9-0flA,,,,,
79,Bart Graft - For the Record...,https://music.businesscasual.biz/album/for-the-record,,Bandcamp,Ready,,
